Article Title,Classification,Site
“A Man Sent His Girlfriend Bags Of Flour After She Hinted She Would Like Him To Send Her Flowers”,Clickbait,Buzzfeed
“46 Life-Changing Style Tips Every Woman Should Know”,Clickbait,Buzzfeed
“10 Peanut Butter Recipes That’ll Take You To Heaven And Back”,Clickbait,Buzzfeed
"""24 B&W Floral Tattoos That Will Have You In A Frenzy""",Clickbait,Buzzfeed
“A Couple Rode Into Their Wedding Reception On Unicorn Jet Skis Like Bosses”,Clickbait,Buzzfeed
“54 Simpsons Tattoos That Don’t Include The Simpsons”,Clickbait,Buzzfeed
“17 Lion Vines That Will Kill You With Cuteness”,Clickbait,Buzzfeed
“Can We Guess Where You Were Born Based On Random Questions?”,Clickbait,Buzzfeed
“We Need to Talk About McDonald’s Mac ‘N’ Cheese Bites”,Clickbait,Buzzfeed
“Little Childhood Moments That Sent You Off the Deep End”,Clickbait,Buzzfeed
“Try Not To Cry As This Colorblind Man Sees His First Sunset in Full Color”,Clickbait,Buzzfeed
“The ‘Paper Towns’ and ‘Tangled’ Movie Posters Are Literally The Same”,Clickbait,Buzzfeed
"“If You Look Up The Word ‘Cute’ In The Dictionary, You’ll Probably See A Photo Of This Baby Wallaby”",Clickbait,Buzzfeed
“This Grizzly Bear Was Caught Rolling Down A Hill Like A Little Kid”,Clickbait,Buzzfeed
“Slang Terms That Will Give You Intense 90s Flashbacks”,Clickbait,Buzzfeed
“Girls Bake Their Faces”,Clickbait,Buzzfeed
Why Russia’s One Time Richest Man Won’t See A Penny Of The $50 Billion Putin ‘Destroyed’ ,News,Forbes
Top Pentagon policy official who warned against withholding Ukraine aid resigns at Trump's request,News,CNN
Allegations of misogynistic and sexist comments loom over Michael Bloomberg's first 2020 debate,News,CNN
Police arrest third teen in stabbing death of Barnard student Tessa Majors,News,CNN
"Malaysia Airlines Flight 370 pilot suspected by 'top levels' of mass murder-suicide, ex-Aussie PM says",News,Fox
Undeclared Submarine Arms Race Takes Hold In Asia ,News,Forbes
Whoopi Goldberg confronts AOC over comments about older Democrats: 'Bothered the hell out of me',News,Fox
"Blago holds court: Ex-gov gives dramatic account of life behind bars, declares he’s a ‘Trump-o-crat’",News,Fox
Lake effect snow warning in effect for Central NY,News,Syracuse.com
 The Video Game That Lets You Make Video Games,News,New Yorker
"In Hong Kong, the coronavirus outbreak is deepening the political divide from the 2019 protests",News,CNN
Murder of 7-year-old girl in Mexico fuels anger and protests over brutal killings,News,CNN
Soccer Analysis Moves Towards Smarter Scouting And More Accessible Data,News,Forbes
"For the first time in 9 years, two nation states are going toe-to-toe in Syria",News,Cnn
UK to close door to non-English speakers and unskilled workers,News,The Guardian
Sony Won't Attend PAX East Either Due to Coronavirus Concerns,News,IGN
